gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ch,dvt,lct,lt,ni,re,revt,seq,teq,xt,costat,ggroup
61676,20131231,2013,INDL,C,D,STD,CTXS,CITRIX SYSTEMS INC,USD,5212.249,280.74,0,1464.061,1892.442,339.523,2908.492,2918.434,3319.807,3319.807,,A,4510
61685,20130930,2013,INDL,C,D,STD,NUAN,NUANCE COMMUNICATIONS INC,USD,5958.603,808.118,0,805.234,3320.589,-115.238,-362.591,1855.279,2638.014,2638.014,,A,4510
61693,20131231,2013,INDL,C,D,STD,HTLF,HEARTLAND FINANCIAL USA INC,USD,5923.716,118.441,8.001,,5484.256,36.789,247.731,289.129,439.46,439.46,,A,4010
61711,20131231,2013,INDL,C,D,STD,TGTX,TG THERAPEUTICS INC,USD,48.112,40.485,0,6.317,8.058,-20.478,-39.404,0.152,40.054,40.054,,A,3520
61726,20130630,2013,INDL,C,D,STD,ADEP,ADEPT TECHNOLOGY INC,USD,30.033,6.274,0.323,12.254,12.693,-10.025,-168.764,46.816,17.34,17.34,,A,2010
61732,20130831,2013,INDL,C,D,STD,MSM,MSC INDUSTRIAL DIRECT  -CL A,USD,1943.003,55.876,75.86,213.579,552.62,237.995,1128.441,2457.649,1390.383,1390.383,,A,2010
61735,20130930,2013,INDL,C,D,STD,SGU,STAR GAS PARTNERS  -LP,USD,632.504,85.057,19.313,220.626,373.223,29.906,,1741.796,259.281,259.281,,A,5510
61739,20131231,2013,INDL,C,D,STD,HIG,HARTFORD FINANCIAL SERVICES,USD,277884,1428,238,,258979,176,10604,25949,18905,18905,,A,4030
61745,20131231,2013,INDL,C,D,STD,IPXL,IMPAX LABORATORIES INC,USD,996.923,184.612,0,153.89,186.72,101.259,475.013,511.502,810.203,810.203,,A,3520
61750,20131231,2013,INDL,C,D,STD,NYMX,NYMOX PHARMACEUTICAL CORP,USD,0.966,0.296,0,4.116,6.624,-4.909,-95.136,3.359,-6.458,-6.058,,A,3520
61759,20131231,2013,INDL,C,D,STD,CLB,CORE LABORATORIES NV,USD,661.01,25.088,58.642,135.775,491.621,242.811,407.304,1073.508,163.323,169.389,,A,1010
61763,20130630,2013,INDL,C,D,STD,RDEN,ELIZABETH ARDEN INC,USD,1103.732,61.674,0,293.359,588.45,40.711,253.655,1344.523,515.282,515.282,,A,3030
61766,20130630,2013,INDL,C,D,STD,ASTC,ASTROTECH CORP,USD,48.002,5.096,0,6.609,12.522,-0.185,-151.84,23.995,32.692,35.48,,A,2010
61776,20130930,2013,INDL,C,D,STD,AXLE,T J T INC,USD,3.029,0.174,0,0.479,0.479,-0.341,-3.307,4.022,2.55,2.55,,A,2510
61796,20131231,2013,INDL,C,D,STD,SOMC,SOUTHERN MICH BANCORP INC,USD,539.459,4.006,,,480.385,4.499,33.629,27.152,59.074,59.074,,A,4010
61811,20131231,2013,INDL,C,D,STD,SCCO,SOUTHERN COPPER CORP,USD,11210.422,1672.695,573.816,783.584,5648.602,1618.517,3401.066,5952.943,5533.662,5561.82,,A,1510
61815,20131231,2013,INDL,C,D,STD,BYFC,BROADWAY FINANCIAL CORP/DE,USD,332.481,8.241,,,306.891,-0.301,-8.988,16.886,25.59,25.59,,A,4010
61839,20130930,2013,INDL,C,D,STD,APU,AMERIGAS PARTNERS  -LP,USD,4409.846,12.635,327,616.974,2985.709,221.222,,3166.543,1385.103,1424.137,,A,5510
61870,20130630,2013,INDL,C,D,STD,OTEX,OPEN TEXT CORP,USD,2654.817,470.445,17.703,527.883,1317.609,148.52,612.775,1363.336,1337.208,1337.208,,A,4510
61880,20130630,2013,INDL,C,D,STD,INBP,INTEGRATED BIOPHARMA INC,USD,12.611,0.055,0,12.416,22.901,0.093,-54.801,33.623,-10.29,-10.29,,A,3030
61899,20131231,2013,INDL,C,D,STD,IDRA,IDERA PHARMACEUTICALS INC,USD,36.867,26.278,1.116,4.41,4.415,-18.226,-412.891,0.047,32.452,32.452,,A,3520
61900,20131231,2013,INDL,C,D,STD,LCAV,LCA VISION INC,USD,42.915,26.689,0,14.863,23.784,-1.368,-51.65,92.185,19.131,19.131,,A,3510
61902,20131231,2013,INDL,C,D,STD,NICE,NICE SYSTEMS LTD,USD,1657.058,119.545,29.01,384.191,452.262,55.275,359.068,949.284,1204.796,1204.796,,A,4510
61939,20131231,2013,INDL,C,D,STD,SBFC,SOUTHEASTERN BANK FINL CORP,USD,1689.326,36.766,2.605,,1557.757,16.346,48.668,80.811,131.569,131.569,,A,4010
